tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
41,5,26.063073309600004,3.1591560304063786,0,2.0344191451319542,0.19721674411186568,0,104.25229323840001,388.6014649882278,400.0,98.41115531182096,-2.632049829161477,-2.6963144852533993,-3.9291981917107295,-3.1642998475751094,3.1338827821631274,-1.6002726937272005,-2.2701029191468658,-2.3780170141863843,-1.1990893178267514,-2.4352216985752406,203,102,71,65,100,7.268827193333337
42,6,40.0,3.4288117199058226,22.77127204217544,2.141802180979048,0.2,21.182427353996403,160.0,399.0,400.0,99.8,-3.2629521698241817,-2.749196962879681,-3.8716660508407892,-3.0862982683091724,3.401381226146576,-1.5235044061434611,-2.4498112737376676,-2.502998829142622,-1.2528763158856648,-2.3770295872127534,200,100,65,51,100,7.26625908416667
43,7,40.0,3.512,33.004096000000004,2.2000141800304158,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-3.5241477111685313,-2.819807509420806,-3.7940396691752993,-3.020070743297711,3.483904,-1.4619962135874465,-2.6775942310258705,-2.5425677824311155,-1.3285130136797552,-2.3042021309858107,200,100,72,52,100,7.288263139444446
44,8,40.0,3.512,33.004096000000004,2.2001720419436519,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-2.6581794263103076,-2.8050805770189378,-3.7190753141182031,-2.9666419989996387,3.483904,-1.4031068070479158,-2.5222786376878359,-2.2741630485381137,-1.3082788989060568,-2.223645536503116,200,100,70,55,100,7.263733128055552
45,9,40.0,3.512,33.004096000000004,2.2002071502537457,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-1.5132229154119416,-2.6873714506766144,-3.6446188337120615,-2.8972384770869883,3.483904,-1.3365771848909969,-2.1238468877021743,-2.0636690644013633,-1.1934358687606395,-2.1521171536584838,200,100,73,56,100,7.277338421388887
46,10,25.138944241999997,3.393111553936,18.379866026559455,2.1264157227891611,0.2,18.179866026559466,100.55577696799999,399.0,400.0,99.8,-0.6605012288605496,-2.567237758206885,-3.5973293213620177,-2.845915276227026,3.365966661504512,-1.2938479574773343,-1.8699561124658759,-1.9527366055207551,-1.0819718336350093,-2.1135972755274013,200,100,81,63,100,7.316911940555556
47,11,0.0,3.192,0,2.0343156025705711,0.1996,0,0.0,392.641536,400.0,99.6004,-0.48287331518519594,-2.567237758206885,-3.5849272396930587,-2.845915276227026,3.166464,-1.2973109171565689,-1.9378671167770145,-2.0969705990777632,-1.0848015576232495,-2.1047061022257951,200,101,94,77,100,7.3327142569444455
48,12,0.0,3.1411322879999997,0,2.0341595661607057,0.19920079999999998,0,0.0,386.384400482304,400.0,99.4011992,-0.9355582357000001,-2.567237758206885,-3.5726149642824043,-2.845915276227026,3.116003229696,-1.2902842338150533,-1.7898216274436773,-1.7951586939806141,-1.0768869828070571,-2.0858679465977081,201,103,91,86,100,7.3035793380555525
49,1,0.0,3.091075203858432,0,2.033698729419398,0.1988023984,0,0.0,380.226978676218,400.0,99.20239680159999,-1.7921808097000003,-2.567237758206885,-3.5606197807921753,-2.845915276227026,3.0663466022275645,-1.2846768112653173,-1.5707274544298766,-1.8584391776725884,-1.0697720428970436,-2.0681388068343187,201,105,99,90,100,7.2779942280555545
50,2,0.0,3.0418158294097437,0,2.0334264711886356,0.19840479360319999,0,0.0,374.16768154403377,400.0,99.00399200799679,-2.5596381383,-2.567237758206885,-3.548845334599581,-2.845915276227026,3.017481302774466,-1.2843710216323689,-1.8267320040562529,-2.0334819136954563,-1.069415211720548,-2.0566875162290055,202,106,98,97,100,7.279519442777779
