tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
47,11,2.8226231999999953,2.4802353290364776,0,2.173492183044714,0.09120211276885634,0,11.290492799999981,279.9393680772782,400.0,45.509854271659314,-1.1009270166665701,-2.6635881080633017,-3.4246206887010042,-4.0,24.60393446404186,-3.2677681697305117,-2.8336896284305579,-2.9487264800360791,-2.0860256294980006,-2.9921694676351418,1067,520,217,198,243,12.500503333333338
48,12,0.0,2.2395149446182256,0,2.1279913092844125,0.09101970854331863,0,0.0,253.51378078204715,400.0,45.41883456311599,-1.088743296343714,-2.6044855850633017,-3.3857557913730707,-4.0,22.215988250612796,-3.2686376805647344,-2.8321842204234171,-2.8667637037038673,-1.9997084841107959,-2.947565297950816,1153,620,255,229,262,12.498072777777782
49,1,0.0,2.0281102462563774,0,2.1127897721305144,0.09083766912623199,0,0.0,230.1787697929275,400.0,45.32799689398976,-2.01645915,-2.5688441720633017,-3.3509987382677413,-4.0,20.11885364286326,-3.5256711055425827,-2.9017325071430955,-2.9763331548747773,-2.1445018855460463,-3.0115537187384023,1098,649,244,238,249,12.468189444444448
50,2,0.0,1.84143015834342,0,2.1232599019239315,0.09065599378797953,0,0.0,209.08893006381734,400.0,45.23734090020179,-2.54039635,-2.5394015000633017,-3.3195655681545211,-4.0,18.266987170766726,-3.3603470465151108,-2.9429455370759694,-2.9697544138121978,-1.969517894632844,-2.9157555597284501,1131,734,249,245,256,12.47346722222223
51,3,0.0,1.6727114405105388,0,2.11890544015372,0.09047468180040358,0,0.0,190.00841411344226,400.0,45.146866218401385,-2.8659679799999997,-2.5149662894633016,-3.2913387113631623,-4.0,16.593297489864543,-3.5380500191751763,-3.1135646831512709,-3.0543345973815805,-2.0817426081671808,-2.9551800760659885,1120,798,246,240,253,12.462088055555558
52,4,0.0,1.5200673129075382,0,2.1155481228173212,0.09029373243680278,0,0.0,172.68562865649193,400.0,45.05657248596458,-2.788996267,-2.4932567774633014,-3.2644207425482397,-4.0,15.079067744042778,-3.4058617825992732,-3.0498960719699264,-2.9428318552062738,-1.9313345352509614,-2.8773488643055734,1167,913,255,248,263,12.48324638888889
53,5,22.026492,1.5576969652519355,0,2.2762572969761399,0.09011314497192917,0,88.10596799999999,177.70206979594076,400.0,44.96645934099265,-3.1674459329999998,-2.5695233292878483,-3.3133616166974362,-4.0,15.452353895299199,-3.3452928086520339,-3.2140063590794243,-3.161919113909395,-1.9579988877860277,-2.9048146994111734,1165,884,192,188,262,12.50089888888889
54,6,32.5709856,1.6821844431675261,0,2.2185083844408342,0.0899329186819853,0,130.2839424,191.90360127655137,400.0,44.87652642231066,-3.5546174015458254,-2.7221129455929116,-3.3648228130020801,-4.0,16.68726967622186,-3.0084950589341908,-3.4642548763518244,-3.2114125257710624,-1.8424339127959266,-2.8335923264664054,1096,769,196,152,246,12.460262638888892
55,7,37.376066480000006,1.834237342052411,0,2.2046345822984716,0.08975305284462133,0,149.50426592000002,209.24979598133905,400.0,44.78677336946604,-3.494918366383799,-2.84809196094221,-3.3946643497246716,-4.0,18.195634433159917,-3.2735330499074067,-3.5966694812287203,-3.2518755649167952,-2.2068449876226914,-2.9555158226740597,1156,742,210,174,259,12.468272361111108
56,8,48.435009184,2.0614784413227127,0,2.2601593703367038,0.08957354673893209,0,193.740036736,235.17346058609505,400.0,44.69719982272711,-3.0907969957794506,-2.8937113391736973,-3.4107582871264133,-4.0,20.44986613792131,-3.2973649230823021,-3.4363176799397932,-3.1569150842423177,-2.3004909522081896,-2.9839133280191721,1064,607,177,151,238,12.439956666666664
57,9,53.812567347200016,2.3118882234663607,0,2.2643701023249245,0.08939439964545422,0,215.25026938880006,263.7402085330424,400.0,44.60780542308165,-2.4069338918315104,-2.8030677037165326,-3.378145688920096,-4.0,22.933931176786295,-3.1078588524827699,-3.1032312655721039,-2.9264567143872933,-2.1068311673864137,-2.8871658317937143,1044,530,173,138,233,12.447688611111108
58,10,27.130933877760015,2.3269691392864194,0,2.1429897630050569,0.0892156108461633,0,108.52373551104006,265.46063940979474,400.0,44.51858981223549,-1.949220157139495,-2.723425284960698,-3.3412774598693984,-4.0,23.083533861721282,-3.1717846145631334,-2.8090749829311479,-2.7719996243025236,-2.0664630011969498,-2.8633389820855726,1073,540,218,165,239,12.395812222222215
59,11,3.8713671022080094,2.154656052096022,0,2.1287382868662785,0.08903717962447098,0,15.485468408832038,243.08056542990062,400.0,44.42955263261102,-1.5352336037490177,-2.62584239206082,-3.3129507211163096,-4.0,21.37418803679254,-3.2370792296519957,-2.744213482735014,-2.8315937963362403,-1.9912669239766645,-2.8543790766786259,1093,599,228,209,243,12.376456666666662
60,12,0.0,1.944644523439205,0,2.1665392091209936,0.08885910526522205,0,0.0,219.0494951339445,400.0,44.3406935273458,-0.5317954902552139,-2.54197582906082,-3.2791119794485537,-4.0,19.290873672516913,-3.2337368489562257,-2.7551833851490182,-2.7715716588325723,-1.8754893977240839,-2.8104136770483734,1181,717,230,218,262,12.353094166666661
61,1,0.0,1.752395961071556,0,2.1203471611140383,0.0886813870546916,0,0.0,198.2706536390431,400.0,44.25201214029111,-1.56182865,-2.49269550106082,-3.2530627187727945,-4.0,17.383767933829837,-3.4918249463355977,-2.829425937840746,-2.87308515375162,-2.0218908220180909,-2.881834106171377,1125,753,237,209,249,12.321103888888885
62,2,0.0,1.586165229112345,0,2.0937350564538106,0.08850402428058221,0,0.0,179.9538421371363,400.0,44.163508116010526,-2.52593155,-2.4628188850608197,-3.22822417409555,-4.0,15.734759072794462,-3.3125627149691583,-2.8555579036241285,-2.8561118697399968,-1.8233189512165682,-2.780264008284683,1159,853,251,240,256,12.265733055555554
63,3,0.0,1.4396307370970904,0,2.1059553368543389,0.08832701623202105,0,0.0,163.43499126803604,400.0,44.075181099778504,-2.88239178,-2.4388763884608196,-3.2077937736594291,-4.0,14.281136912003134,-3.4907022764552043,-3.0260968042964409,-2.9465088866462708,-1.9467877889567387,-2.8262084702315171,1148,928,245,241,253,12.25211222222222
64,4,13.498980000000001,1.4154717701442883,0,2.2173273905763189,0.088150362199557,0,53.99592,161.4770195380604,400.0,43.98703073757895,-2.4084906669999997,-2.436558143731752,-3.2039428589721242,-4.0,14.04147995983134,-3.3521136677424623,-2.9889285487408879,-2.8674656782784469,-1.8144980483351114,-2.766247107485742,1195,977,208,203,263,12.245955277777774
65,5,28.518845999999996,1.5199669243044833,0,2.2429139866113457,0.08797406147515789,0,114.07538399999999,173.39782672465546,400.0,43.89905667610379,-2.853899748705487,-2.4992021435258134,-3.2523905708730028,-4.0,15.078071889100475,-3.2857068201469497,-3.1397438862758031,-3.0566799750070262,-1.8278552752594157,-2.7880266650229801,1193,906,198,166,262,12.23753166666667
66,6,43.874698800000004,1.7381802041972438,0,2.2388820644228331,0.08779811335220758,0,175.4987952,198.29159769482155,400.0,43.81125856275158,-3.5074902363322678,-2.7028097384975465,-3.3285383666185688,-4.0,17.242747625636657,-2.9536960668602452,-3.3981597929408913,-3.1447579027661376,-1.7875272236094197,-2.7492994019485684,1122,744,187,151,246,12.226376805555557
67,7,60.0,2.0663327815585726,0,2.3143519955980509,0.08762251712550316,0,240.0,235.72724372020195,400.0,43.72363604562608,-3.5053933275545672,-2.88924636970503,-3.4167493414320393,-4.0,20.498021193061042,-3.2178208967006405,-3.5746932228832851,-3.2379982675816432,-2.2223938200551796,-2.9263207765171106,1184,659,177,146,259,12.224617083333335
68,8,60.0,2.365817949761616,0,2.3043277971726686,0.08744727209125217,0,240.0,269.8925117088051,400.0,43.636188773534826,-2.9073810259811372,-2.8929257039553296,-3.4405358262723129,-4.0,23.46891406163523,-3.2495991943612967,-3.4245883588730486,-3.1424013082420599,-2.2846663462368078,-2.970155795581797,1090,529,166,125,238,12.233892083333334
69,9,47.55912000000001,2.539613053670441,0,2.2008792551133034,0.08727237754706965,0,190.23648000000003,289.71905716272386,400.0,43.54891639598775,-2.322967261029882,-2.8075371934720406,-3.4061025445062265,-4.0,25.192961492410774,-3.0508956257524478,-3.062575201588591,-2.8798916413586007,-2.08918068492292,-2.8643537996161372,1070,482,191,141,233,12.202965694444448
70,10,33.480624000000006,2.5855974493017913,0,2.1939889369396388,0.08709783279197551,0,133.92249600000002,294.9649570163483,400.0,43.46181856319578,-1.648185706835419,-2.687438649227565,-3.3561780509339738,-4.0,25.64912669707377,-3.1098151032660226,-2.7551013176562167,-2.7398692806015479,-2.0013800651126346,-2.8215339506698633,1099,486,200,170,239,12.12459902777778
